Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2019,1,1,1,01/01/2019 00:00:00,5287.71544936505,2248.7084966754,20340.6051942974,3115.81945649828,0,9026.48912251813,6618.9276012256,2563.04442261125,8046.3740277981,167.75,2228.90188099323,49966.3356519824,9678,2729,12407,0,0,4940,61,800,0,839,1276,196,1156,3860,0,1354,0,0,224,418,12,28.32,15500.6200461252,270.456360253612
2019,1,1,2,01/01/2019 01:00:00,5259.02886248262,2242.57434320244,22416.8311052054,2849.08981388078,0,8558.94476286984,5617.81349220972,2154.63533774109,7741.8740277981,116,2197.81364899991,49132.6053943899,10022,1618,11640,0,0,5073,60,801,1,957,714,9,827,3244,0,1158,0,0,0,398,16,10.07,13915.4614793773,244.512874382838
2019,1,1,3,01/01/2019 02:00:00,5218.81402105866,2180.87197591562,23140.8653002513,2443.28326263591,0,7976.08115097586,5577.48611245862,1899.68413963129,7545.20826857318,87.75,2126.93248005513,46985.9767115556,11211,656,11867,76,0,4284,20,800,0,910,200,600,417,3642,0,1176,0,0,0,379,19,-4.08,13483.4353478446,240.455586627814
2019,1,1,4,01/01/2019 03:00:00,5218.00972423018,2157.41785969548,24282.2300587221,2679.96235892499,0,7241.79834700275,5500.49747838834,2035.54985242441,7510.20826857318,1,2146.82894853086,47369.5028964923,11404,504,11908,67,0,4273,3,800,0,1211,111,673,367,3083,0,1428,0,0,0,373,23,-9.91,13527.0996023831,238.484002042243
2019,1,1,5,01/01/2019 04:00:00,5219.61831788714,2104.73630633948,26368.8828758461,2561.25028334662,0,7139.76587816798,5404.65448495392,1981.69073520164,7510.1240277981,1,2171.69953412552,48121.4224436665,12342,304,12646,67,0,4961,0,800,0,1137,0,689,277,3130,0,1492,0,0,0,370,27,-7.41,13415.9734085664,229.809933877677
2019,1,1,6,01/01/2019 05:00:00,5211.57534960235,1999.01236707024,27902.4010339518,2363.06568855262,0,7080.35139385879,5297.55124912146,1971.94737731209,7526.1240277981,3,2153.04659492952,48598.075082197,12910,288,13198,67,0,4984,0,800,0,1100,0,949,273,4060,0,862,0,0,0,376,15,-12.55,13269.3024715764,223.386774528132
2019,1,1,7,01/01/2019 06:00:00,5220.69071365844,2044.11643672435,29588.2537487251,1917.52287769992,0,7054.78060314344,5292.57579317814,1793.31914933708,7385.12130547285,0,2121.46095122431,48471.8415791636,13946,386,14332,67,0,4819,2,800,0,1000,0,1811,370,4641,0,844,0,0,0,350,14,-17.25,13017.8965660148,215.818206299339
2019,1,1,8,01/01/2019 07:00:00,5234.89995762824,2066.84888783002,30421.3889868602,2031.01956920476,0,7192.91301181165,5257.22386937036,1814.1591092675,7439.03706469777,0,2066.99436877201,48927.4848254425,14597,261,14858,67,0,4751,0,800,0,800,0,1752,249,6031,0,296,0,0,0,361,12,-15.07,12934.8686321443,210.645995387447
2019,1,1,9,01/01/2019 08:00:00,5255.8116751687,2087.05551103507,30964.8596840197,2193.44153035173,90.4671878596792,7175.36442994817,5132.05187248059,1885.06910279697,7481.39847828946,0,2083.90636697637,50167.4258389264,14182,187,14369,67,0,4676,1,800,0,800,30,1020,143,6114,0,520,0,0,0,372,13,-4.93,12897.5441506636,207.432837032151
2019,1,1,10,01/01/2019 09:00:00,5255.8116751687,2140.81956206277,30720.9718044801,2061.31846715572,625.75375341517,7009.40498432503,5142.2646504695,2271.82628124591,7486.14847828946,0,2141.10871384409,51425.4283704565,13430,284,13714,67,0,5170,0,800,0,600,30,1277,221,5144,0,272,0,0,0,384,33,-6.33,13311.8173228637,212.55210322579
2019,1,1,11,01/01/2019 10:00:00,5264.12274239632,2216.23356652444,31851.4010271634,2141.03933799392,1469.75624193396,6658.18265302891,5163.99953695873,2329.4744820924,7476.17565110607,0,2114.74589311375,52876.1311323119,13809,314,14123,67,0,5513,0,800,0,600,30,1211,254,4954,0,585,0,0,0,393,30,-4.93,13339.2524618326,207.146137390021
2019,1,1,12,01/01/2019 11:00:00,5259.8331593111,2271.08011522384,33559.3791282974,2704.30081793478,2204.76858721527,6727.1235103497,5131.79000637831,2402.82031509426,7593.64847828946,0,2098.58001247722,56018.3241305714,13935,260,14195,67,0,5590,0,800,0,900,30,884,207,5032,0,522,0,0,0,400,23,0.45,13383.7733233947,198.197393170746
