Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2020,1,1,1,01/01/2020 00:00:00,5457.64798671836,1818.82870825623,5865.70585292534,534.674835354461,0,8125.8820082117,9533.5733611455,1898.45604518757,8057.10477208025,548.25,2145.60883444508,44665.7324043245,-680,5104,4424,0,615,500,0,457,537,737,1278,0,1935,2088,0,290,121,0,603,352,15,0,0,41.88,18343.2657289276,445.808542066436
2020,1,1,2,01/01/2020 01:00:00,5437.72136905626,1817.49059627664,5657.94996869395,1168.98789885027,0,8130.65617433175,9630.90699567627,1735.68802091491,7675.46952226553,73.75,2140.10256711973,44503.7231131853,-1035,5929,4894,0,615,1007,0,566,805,527,1423,1,1936,1863,622,593,0,0,506,337,22,0,0,38.6,18165.2730637035,441.849905656266
2020,1,1,3,01/01/2020 02:00:00,5436.31808612231,1851.27792376126,5545.33462957788,1669.9467681165,0,8123.62056110221,9637.82280655083,1697.56762861314,7533.84252004223,217.25,2134.29039605408,45043.2713199404,-1196,5831,4635,0,615,516,194,603,903,517,1211,0,1935,1883,131,771,0,20,826,325,16,0,0,36.55,18078.1468361273,437.523784528318
2020,1,1,4,01/01/2020 03:00:00,5438.00202564306,1848.26717180719,5233.45809775857,2070.26096249247,0,8114.07222886213,9711.07917359241,1808.29829196591,7524.64577133915,54,2143.467508263,44215.5512317239,-270,5966,5696,0,615,1782,513,702,505,677,1377,357,2027,764,100,1091,228,0,594,323,7,0,0,32.32,18254.2591219086,438.559456765666
2020,1,1,5,01/01/2020 04:00:00,5424.24985289035,1781.69610082264,5250.69018628711,2305.51789004844,0,8114.57477266424,9765.12495487133,1812.53389111056,7406.8342724508,80.25,2157.23317657638,44643.7050977218,-545,5597,5052,0,615,1758,426,584,730,775,1240,300,1949,526,24,787,256,0,352,322,5,0,0,30.85,18296.2287015604,438.462343139636
2020,1,1,6,01/01/2020 05:00:00,5418.63672115455,1772.99837295531,5382.72196318182,2172.41530750608,0,8111.30823795052,9679.82995408516,1827.66103091285,7519.13351930112,120,2158.15088779727,44154.8559948447,8,5791,5799,0,615,1906,316,466,892,582,1303,218,1980,1169,237,1125,84,0,355,333,9,0,0,30.14,18259.2878009189,437.058821059521
2020,1,1,7,01/01/2020 06:00:00,5406.56848792257,1792.40099665935,5318.64771851232,1953.00991624533,0,8117.33876357584,9548.68568861212,1852.16699739256,7577.47776985695,337,2162.12763642113,41626.4239751982,2439,4384,6823,0,615,1976,267,589,353,662,1482,218,1301,1504,0,1575,0,0,352,299,14,0,0,30.17,18165.0817737736,436.734902706668
2020,1,1,8,01/01/2020 07:00:00,5431.2662675601,1784.70685277672,5022.30433691592,2165.62179195099,0,8134.17398094651,9533.5733611455,1870.62210795135,7713.9982694864,431.25,2156.92727283608,40885.4442415696,3359,4995,8354,0,615,2369,349,669,469,406,1711,161,1321,2450,0,1989,0,0,524,310,6,0,0,30,18205.8657198306,436.427105776957
2020,1,1,9,01/01/2020 08:00:00,5443.33450079207,1766.64234105227,4832.50865762978,2294.19536412328,410.143953692013,8138.44560326445,10023.3152275214,1910.5577570294,7797.22776985695,215.25,2160.59811771965,42278.2192926812,2714,5365,8079,0,615,1381,172,632,627,410,1300,172,2107,2879,0,2279,0,0,538,326,6,0,0,30.65,18809.7794504099,441.46088789324
2020,1,1,10,01/01/2020 09:00:00,5435.75677294874,1790.72835668487,4824.25667157386,2350.55638206182,3399.81994680433,8139.19941896761,10187.2455593627,1920.84421209496,7839.53102115388,230,2143.1616045227,44416.0999461754,3845,5159,9004,0,615,1234,121,659,589,402,1321,191,1984,3828,0,2353,0,0,524,337,5,0,0,30.65,18982.5934248076,414.897532904813
2020,1,1,11,01/01/2020 10:00:00,5453.71879450329,1833.88246802661,4584.22095953549,2555.61990715071,7406.65294507284,8091.70902966825,10410.0883542094,1901.48147314803,7818.7932731919,101.5,2151.11510177043,48057.782306277,4251,4441,8692,0,615,1068,84,677,397,435,1101,198,1777,3693,91,2112,0,160,371,349,5,0,0,30.27,19215.6427475959,386.307405587651
2020,1,1,12,01/01/2020 11:00:00,5446.70237983355,1822.17398820521,4297.82850230064,2760.93504392683,10619.1738196911,7856.26725837989,10401.3795553304,1879.69839183273,7769.35877652686,153.5,2162.12763642113,50916.1453524484,4253,5069,9322,0,615,1122,330,923,626,515,1147,86,1889,3755,42,2285,7,265,411,371,2,0,0,30.34,19188.8642848628,366.17476154006
2020,1,1,13,01/01/2020 12:00:00,5415.54949869985,1830.87171607253,3778.92420266665,3375.11917244459,12102.2543562415,7721.0829756124,10556.3449471491,1895.73316002316,7625.62102856488,143,2156.92727283608,51612.4283303107,4989,5063,10052,0,615,1304,393,1030,364,565,1178,1,1916,4068,27,2381,172,325,393,378,5,0,0,30.99,19307.9844856767,358.813565478539
2020,1,1,14,01/01/2020 13:00:00,5465.78702773527,1860.31017962349,4034.00765398345,3638.30499728259,11130.4866152939,7958.03237830709,10269.9791487138,1888.7746757141,7595.33002930598,209.75,2159.06859901816,50314.8313049778,5895,4983,10878,0,615,1552,319,1184,462,674,1009,83,1931,4084,0,2563,229,372,415,366,3,0,0,30.04,18982.5273066379,355.352581208637
2020,1,1,15,01/01/2020 14:00:00,5498.06253521612,1854.62320371024,3891.78224725496,3344.92576997751,7683.08996986125,8116.83621977373,10998.1884196901,1891.19501808247,7690.78903004708,940.25,2156.00956161519,48576.7519752286,5489,4814,10303,0,615,1697,213,1276,491,1029,969,207,2041,3109,25,2285,87,345,371,355,2,0,0,30.75,19808.7115082626,391.217969231743
2020,1,1,16,01/01/2020 15:00:00,5466.34834090885,1847.2635878225,4082.79145390227,2986.63072736821,2773.66684416785,8131.15871813385,11334.2455999648,2099.94954735409,7739.73577875016,1535,2151.42100551073,47789.2116038833,2359,6003,8362,0,615,2371,605,418,413,1140,940,66,1961,1551,973,1926,244,530,249,360,3,0,0,32.11,20355.7373509111,440.967356815116
