Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,DE>BE,BE>DE,Day-Ahead Spot price Euro/MWh,Emissions of power production t CO2,Emission factor g/kWh
2021,1,1,1,01/01/2021 00:00:00,5422.72033514557,1672.45983895116,3902.76886388363,387.94168738386,0,8164.78521581489,11768.3600371076,3827.48320319525,9978.24178592752,347.25,2107.75641729935,47229.7673847088,350,8088,8438,0,615,1314,322,1494,884,3,2500,1,2696,3077,320,1357,50,0,0,368,1,0,700,824,0,50.87,23195.8952446081,516.581536555144
2021,1,1,2,01/01/2021 01:00:00,5402.24492181926,1660.31542103346,3555.08015587384,398.873202821282,0,8170.29874522794,11762.5308541629,3384.02308034228,9747.83865014201,396.5,2105.19574131782,45569.9007727408,1013,7605,8618,0,615,1228,143,1157,405,2,2300,193,2951,2784,489,2066,0,0,0,356,2,0,700,832,0,48.19,22736.3979216109,517.46024310875
2021,1,1,3,01/01/2021 02:00:00,5398.98072549188,1615.55456642253,3216.24349417829,308.878866429482,0,8176.56411956096,11920.4256791428,3409.03023012722,9655.76208224925,348.5,2097.83379787091,44202.7735614734,1945,7658,9603,0,615,1352,433,1375,524,0,2299,82,2657,3633,382,2004,46,0,1,349,1,0,700,808,0,44.68,22885.2419383991,524.665155884544
2021,1,1,4,01/01/2021 03:00:00,5389.78162675107,1636.72055193623,2781.26377390296,322.861037337812,0,8173.80735485443,12507.3990573989,3170.35087829095,9475.68551435649,5.5,2086.9509249494,45454.3207197782,96,6884,6980,0,615,1123,333,1097,347,0,2300,3,2559,1783,30,2012,0,0,0,347,0,0,700,615,0,42.92,23257.7390123291,537.09840834579
2021,1,1,5,01/01/2021 04:00:00,5382.95648897563,1603.06316513576,2494.55582939134,297.184687124333,0,8170.54936020126,12565.6908868457,3015.58440684414,9346.60894646373,6,2093.03253040554,46307.7263013875,-1332.5,7152.75,5820.25,0,615,1592,411,1092,326,0,2300,35,2478,381,163,1984,44,0,0,348,0,0,700,388.25,115.75,40.39,23149.8532236431,542.343264757846
2021,1,1,6,01/01/2021 05:00:00,5373.46064511415,1589.87779711083,2145.39178032917,434.718404604456,0,8170.29874522794,12874.3841401773,3041.42512828858,9406.18551435649,33.5,2129.52216314238,44867.5143183513,331.25,7123.75,7455,0,615,1493,512,1246,336,12,2300,148,2593,1390,7,2275,0,0,0,352,0,0,700,539,60.75,40.2,23598.0354423952,549.405371456419
2021,1,1,7,01/01/2021 06:00:00,5365.44852685603,1610.69679925545,2005.9720508797,509.967906220198,0,8174.55919977439,13230.7246280132,3152.56801622166,9447.60894646373,89.75,2145.84647252466,43822.892546209,1910.25,7058,8968.25,0,615,1533,552,1664,97,0,2340,229,2578,1961,0,2409,0,0,0,328,0,0,700,844.25,176,39.63,24126.1416335814,554.858447188944
2021,1,1,8,01/01/2021 07:00:00,5366.04201709737,1606.53299882653,1969.82619509651,387.433244805375,0.326319503504875,8172.80489496115,12644.2581352306,3280.93805178436,9527.78237857097,926.25,2144.88621903158,44317.5804549079,1709.5,7021.25,8730.75,0,615,1482,588,1832,0,0,2273,210,2562,1903,10,2264,7,0,27,339,0,0,700,700.75,239.25,40.09,23607.7118552971,550.108449929532
2021,1,1,9,01/01/2021 08:00:00,5399.87096085389,1599.24634807591,2100.14798805633,360.740009434926,253.223934719783,8177.56657945424,12607.002052932,3431.25880771384,9947.47610699993,80.5,2128.881994147,44916.6647823878,1169.25,7153.75,8323,0,615,561,113,1941,31,0,2331,237,2522,1732,430,2712,15,0,60,349,0,0,700,791,336.75,41.27,23820.8419495877,543.982984740411
2021,1,1,10,01/01/2021 09:00:00,5390.37511699241,1614.86059968438,2148.34246243393,248.882642168282,1780.0728916191,8180.07272918745,12337.0855383194,3428.75809273535,10381.4917859275,81.25,2133.36317711468,46872.8050361825,851.75,6941.75,7793.5,0,615,587,194,1911,0,0,2227,220,2536,1826,276,2152,20,0,60,357,0,0,700,740.5,313.75,44.88,23690.4133160803,522.608667267193
