Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Hydro pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,DE>BE,BE>DE,Day-Ahead Spotpreis €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2022,1,1,1,01.01.2022 00:00,5065,2011,25461,6047,0,3302,3743,1945,5190,471,2906,47472,8669,2116,10785,0,314,932,53,800,94,200,21,1787,515,3419,349,780,21,87,216,357,16,1361,0,1062,517,50.1,11974,225
2022,1,1,2,01.01.2022 01:00,5046,2082,24403,5843,0,3345,3727,1955,5082,521,2904,46530,8378,1881,10260,0,0,589,103,800,430,361,0,1480,261,3590,400,1033,50,90,285,338,17,1361,0,618,335,41,11921,229
2022,1,1,3,01.01.2022 02:00,5033,2014,23231,5613,0,3342,3673,1939,5079,466,2889,45412,7867,3219,11085,0,30,333,149,798,441,428,195,1484,927,4681,195,1085,150,96,437,323,10,1361,0,496,685,43,11824,234
2022,1,1,4,01.01.2022 03:00,5025,1993,22004,5444,0,3340,3683,1930,5100,191,2883,45373,6219,5972,12191,0,563,122,127,799,527,719,530,1707,1048,4577,728,1396,352,117,1050,317,5,1400,0,1037,1042,45,11826,241
2022,1,1,5,01.01.2022 04:00,5014,2054,20617,5652,0,3340,3718,1920,5105,114,2871,45376,5029,5090,10119,0,0,667,85,725,609,625,654,1315,633,3341,153,1167,789,109,1050,316,0,1400,0,454,1117,38,11840,246
2022,1,1,6,01.01.2022 05:00,5007,2028,19562,4588,0,3345,3959,1921,5093,82,2882,44043,4423,3851,8274,0,0,776,57,734,568,642,642,1200,639,2727,63,338,316,105,1050,318,7,1400,0,34,509,40,12122,262
2022,1,1,7,01.01.2022 06:00,4996,1974,19254,4565,0,3341,4074,1937,5093,77,2888,44039,4158,3195,7354,0,0,639,78,770,474,267,713,1261,339,2429,150,220,28,36,926,298,4,1400,0,34,483,41,12271,267
2022,1,1,8,01.01.2022 07:00,4996,1976,17974,4908,1,3327,4067,2252,5101,77,2903,44398,3183,3910,7093,0,0,653,82,800,453,1,1028,1514,451,1853,200,327,13,36,895,309,0,1400,1,200,787,43,12546,277
2022,1,1,9,01.01.2022 08:00,5008,2001,16613,4223,277,3341,4185,2335,5233,149,2900,44081,2183,4206,6389,0,0,568,24,800,205,296,1250,1442,451,1391,150,50,167,82,1250,325,3,1400,0,35,706,50,12789,291
2022,1,1,10,01.01.2022 09:00,5005,1996,15475,4263,2123,3328,4424,2348,5157,146,2888,45662,1492,4248,5740,0,0,737,18,856,56,406,1200,1234,390,471,149,52,455,6,1300,335,2,1399,0,244,678,70,13020,291
2022,1,1,11,01.01.2022 10:00,5011,1997,13929,4098,4734,3337,4597,2331,5280,264,2884,47646,816,5595,6410,0,0,891,0,874,255,260,789,1102,534,1470,1982,4,766,55,268,346,0,1400,0,8,1001,77,13238,289
2022,1,1,12,01.01.2022 11:00,5023,2016,11834,4314,7131,3341,4649,2410,5287,173,2877,50325,-1272,7138,5866,0,0,407,87,923,675,445,1033,1230,177,723,2650,0,1500,367,13,362,0,1400,0,9,1003,84,13351,288
2022,1,1,13,01.01.2022 12:00,5022,1991,10239,5052,8318,3345,4733,2596,5284,338,2879,51046,-1249,5465,4216,0,0,407,208,850,387,447,1262,633,203,42,2007,31,263,0,146,369,0,1396,0,41,989,95,13599,290
2022,1,1,14,01.01.2022 13:00,5047,2006,8860,5589,7296,3341,4456,2622,5192,877,2881,50122,-1957,6198,4241,0,0,173,208,908,469,490,1282,603,98,0,2201,61,928,254,53,358,0,1361,0,33,959,97,13280,296
2022,1,1,15,01.01.2022 14:00,5051,2055,8270,5957,4963,3305,5157,2794,5294,1485,2873,48872,-1669,7447,5778,0,0,504,62,1171,570,306,1098,836,281,900,3039,178,1508,173,0,349,0,1361,0,0,889,97,14227,329
2022,1,1,16,01.01.2022 15:00,5067,2055,8686,6108,1981,3342,6692,3174,5305,2143,2875,49079,-1650,10421,8771,0,0,2277,0,1185,445,973,2064,1760,1137,859,4772,0,896,0,103,356,4,1361,0,0,1000,101,16253,379
2022,1,1,17,01.01.2022 16:00,5069,1972,10575,6176,162,3343,7400,3634,5283,3061,2892,50412,-844,10390,9546,0,0,2280,0,1155,685,551,1758,872,614,1914,4888,0,761,1034,422,379,6,1361,256,0,1000,127,17436,396
2022,1,1,18,01.01.2022 17:00,5077,1973,12817,6149,0,3347,7754,3838,5275,3710,2891,53079,-248,6103,5855,0,0,1170,23,811,452,309,741,899,497,1083,2972,107,669,248,0,396,6,805,0,27,743,150,17990,387
2022,1,1,19,01.01.2022 18:00,5078,1963,14788,6118,0,3349,7962,3984,5267,4329,2904,53432,2310,3677,5987,0,0,1546,0,781,271,254,724,622,635,837,1398,606,74,292,0,409,8,358,0,282,567,146,18358,376
2022,1,1,20,01.01.2022 19:00,5080,1954,16752,6155,0,3348,7567,3789,5303,3898,2906,52503,4250,2015,6265,0,0,1652,0,847,168,59,515,635,584,601,84,524,239,83,0,393,10,973,24,498,391,140,17776,354
2022,1,1,21,01.01.2022 20:00,5078,1974,17699,6304,0,3350,6607,3410,5307,3296,2908,50992,4942,2414,7356,0,0,1896,1,891,103,216,461,475,885,661,88,575,135,407,235,371,11,1361,33,503,462,122,16402,327
2022,1,1,22,01.01.2022 21:00,5069,1971,18176,6547,0,3350,5945,2987,5261,1367,2909,49721,3863,3147,7010,0,0,2152,4,889,102,338,360,304,1418,585,329,635,415,27,0,359,10,1361,8,360,501,103,15307,308
2022,1,1,23,01.01.2022 22:00,5066,2058,18472,6820,0,3355,5981,2502,5253,1649,2926,50051,4031,3152,7183,0,253,1870,24,934,134,123,358,15,1364,1435,630,642,77,21,64,394,8,1361,78,388,162,97,14975,300
2022,1,1,24,01.01.2022 23:00,5058,1968,18709,7013,0,3352,4776,2325,5197,727,2922,47563,4483,4834,9317,0,495,2178,45,869,115,547,713,8,1318,2060,894,565,246,900,580,379,5,1361,71,450,352,85,13461,275
